Course,Name,City,State,Rank,Type,Website,passion_interest
16. B.Sc (Bachelor of Science) - Computer Science,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Technology
* Programming
* Algorithms
* Data Structures
* Problem-solving"
17. B.Sc (Bachelor of Science) - Fashion & Lifestyle Designing,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"*  Fashion
*  Creativity
*  Art
*  Design
*  Lifestyle"
18. B.Sc (Bachelor of Science) - Food Science & Technology,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Nutrition
* Health
* Innovation
* Sustainability
* Culinary arts"
19. B.Sc (Bachelor of Science) - Interior Design,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Aesthetics
* Creativity
* Space Planning
* Colors
* Materials"
20. B.Sc (Bachelor of Science) - Mathematics,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Mathematics
* Logic
* Problem-solving
* Data analysis
* Statistics"
21. B.Sc (Bachelor of Science) - Microbiology,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Biotechnology
* Infectious diseases
* Medical research
* Environmental science
* Food safety"
22. B.Sc (Bachelor of Science) - Physics,Karnavati University,Gandhinagar,Gujarat,37,Private,https://www.karnavatiuniversity.edu.in,"* Astrophysics
* Condensed Matter Physics
* Cosmology
* Nuclear Physics
* Quantum Mechanics"
1. Bachelor of Arts (BA),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* History
* Literature
* Philosophy
* Sociology
* Anthropology"
2. Bachelor of Commerce (BCom),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Accounting
* Finance
* Economics
* Investments
* Marketing"
3. Bachelor of Business Administration (BBA),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Finance
* Marketing
* Management
* Entrepreneurship
* Human Resources"
4. Bachelor of Science (BSc),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Science
* Engineering
* Technology
* Research
* Medicine"
5. Bachelor of Computer Science (BSc CS),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Technology
* Programming
* Software development
* Problem-solving
* Logical thinking"
6. Bachelor of Information Technology (BSc IT),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Technology
* Computers
* Software
* Programming
* Data"
7. Bachelor of Civil Engineering (BE Civil),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Infrastructure Development
* Sustainability
* Design
* Structural Analysis
* Construction Management"
8. Bachelor of Mechanical Engineering (BE Mechanical),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Physics
* Mathematics
* Design
* Innovation
* Problem-solving"
9. Bachelor of Electrical Engineering (BE Electrical),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Robotics
* Power Systems
* Control Systems
* Electronics
* Telecommunications"
10. Bachelor of Electronics and Telecommunication Engineering (BE E&TC),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Electronics
* Telecommunications
* Control systems
* Signal processing
* Embedded systems"
11. Bachelor of Pharmacy (BPharm),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Chemistry
* Biology
* Healthcare
* Drug Discovery
* Research"
12. Bachelor of Management Studies (BMS),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Management
* Business
* Finance
* Marketing
* Entrepreneurship"
13. Bachelor of Social Work (BSW),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Social Justice
* Advocacy
* Human Rights 
* Community Development
* Social Policy"
14. Bachelor of Vocational Studies (BVoc),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Arts
* Tourism
* Retail
* Health
* Law"
15. Bachelor of Applied Science (BASc),"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,38,Private,https://dypvp.edu.in/,"* Engineering
* Applied Science
* Technology
* Research
* Innovation"
1. Bachelor of Dental Surgery (BDS),Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital,Pune,Maharashtra,39,Deemed,https://www.bvdudentalpune.in/,"* Oral health
* Patient care
* Surgery
* Aesthetics
* Science"
1. Bachelor of Dental Surgery (BDS),Saraswati Dental College & Hospital,Lucknow,Uttar Pradesh,40,Private,https://sdch.in/,"* Healthcare
* Biology
* Dentistry
* Aesthetics
* Career Prospects"
1. Bachelor of Architecture (B.Arch),School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,11,State,https://spabhopal.ac.in/,"* Design
* Art
* Engineering
* History
* Sustainability"
2. Bachelor of Planning (B.Plan),School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,11,State,https://spabhopal.ac.in/,"* Architecture
* Design
* Sustainability
* Urban Planning
* Infrastructure"
3. Bachelor of Interior Architecture (B.I.A),School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,11,State,https://spabhopal.ac.in/,"* Creativity
* Aesthetics
* Design
* Space Planning
* Innovation"
4. Bachelor of Landscape Architecture (B.L.A),School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,11,State,https://spabhopal.ac.in/,"* Aesthetics
* Environment
* Planning
* Plants
* Design"
5. Bachelor of Design (B.Des),School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,11,State,https://spabhopal.ac.in/,"* Art
* Creativity
* Design
* Innovation
* Visuals"
1. Bachelor of Technology (B.Tech) in Civil Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Structural Design
* Construction Management
* Environmental Engineering
* Transportation Engineering
* Geotechnical Engineering"
2. Bachelor of Technology (B.Tech) in Electrical Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Physics
* Mathematics
* Electronics
* Automation
* Energy"
3. Bachelor of Technology (B.Tech) in Mechanical Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Machines
* Design
* Manufacturing
* Robotics
* Automation"
4. Bachelor of Technology (B.Tech) in Computer Science and Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Programming
* Software Development
* Technology
* Innovation
* Problem-Solving"
5. Bachelor of Technology (B.Tech) in Electronics and Communication Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Electronics
* Communications
* Technology
* Innovation
* Problem-solving"
6. Bachelor of Technology (B.Tech) in Information Technology,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Technology
* Programming
* Computers
* Data
* Software"
7. Bachelor of Technology (B.Tech) in Production Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Manufacturing
* Design
* Assembly
* Automation
* Quality"
8. Bachelor of Technology (B.Tech) in Metallurgical and Materials Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Materials Science
* Metallurgy
* Mechanical Properties
* Corrosion
* Nanocomposites"
9. Bachelor of Technology (B.Tech) in Chemical Engineering,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Chemistry
* Mathematics
* Physics
* Technology
* Innovation"
10. Bachelor of Technology (B.Tech) in Biotechnology,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,12,Central,https://www.vnit.ac.in/,"* Biology
* Chemistry
* Engineering
* Medicine
* Research"
1. Architecture,Malaviya National Institute of Technology,jaipur,Rajasthan,13,Central,https://www.mnit.ac.in,"* *Drawing
* *Design
* *Construction
* *History
* *Sustainability"
2. Civil Engineering,Malaviya National Institute of Technology,jaipur,Rajasthan,13,Central,https://www.mnit.ac.in,"* Environmentalism
* Construction
* Mathematics
* Problem-solving
* Design"
3. Computer Science and Engineering,Malaviya National Institute of Technology,jaipur,Rajasthan,13,Central,https://www.mnit.ac.in,"* Problem-solving
* Technology
* Mathematics
* Logic
* Creativity"
4. Bachelor of Technology (B.Tech.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Science
* Technology
* Innovation
* Problem-solving
* Research"
5. Bachelor of Business Administration (B.B.A.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Management
* Marketing
* Finance
* Entrepreneurship
* Human Resources"
6. Bachelor of Computer Applications (B.C.A.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Technology
* Programming
* Software Development
* Problem-Solving
* Business"
7. Bachelor of Physical Education (B.P.Ed.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Sports
* Fitness
* Health
* Coaching
* Teaching"
8. Bachelor of Education (B.Ed.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Teaching
* Mentoring
* Education
* Child Development
* Social Impact"
9. Bachelor of Vocational Studies (B.Voc.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* * * * *
* * * * *
* * * * *
* * * * *
* * * * *"
10. Bachelor of Library and Information Science (B.Lib.I.Sc.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Reading
* Research
* Information
* Technology
* Libraries"
11. Bachelor of Performing Arts (B.P.A.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Acting
* Singing
* Dance
* Music
* Theatre"
12. Bachelor of Visual Arts (B.V.A.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Drawing
* Painting
* Photography
* Film
* Crafts"
13. Bachelor of Tourism and Hospitality Management (B.T.H.M.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Travel
* Adventure
* Hospitality
* Food
* Culture"
14. Bachelor of Social Work (B.S.W.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Human Services
* Social Justice
* Advocacy
* Mental Health
* Children and Families"
15. Bachelor of Physiotherapy (B.P.T.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Healthcare
* Human body
* Rehabilitation
* Movement
* Science"
16. Bachelor of Occupational Therapy (B.O.T.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Helping others
* Healthcare
* Rehabilitation
* Disability
* Communication"
17. Bachelor of Speech and Hearing (B.S.H.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Helping others
* Communication
* Language
* Science
* Healthcare"
18. Bachelor of Audiology and Speech Language Pathology (B.A.S.L.P.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Communication
* Language
* Hearing
* Disabilities
* Helping others"
19. Bachelor of Forensic Science (B.F.Sc.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Law
* Science
* Investigation
* Analysis
* Justice"
20. Bachelor of Public Health (B.P.H.),Banaras Hindu University,Varanasi,Uttar Pradesh,18,Central,https://bhu.ac.in/,"* Health
* Medicine
* Epidemiology
* Policy
* Research"
1. Bachelor of Dental Surgery (BDS),Nair Hospital Dental College,Mumbai,Maharashtra,19,Deemed,https://nairrhospitaldentalcollege.edu.in/,"* Dentistry
* Healthcare
* Science
* Manual dexterity
* Helping others"
1. Bachelor of Technology (B.Tech) in Computer Science and Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Problem-Solving
* Technology
* Mathematics
* Innovation
* Creativity"
3. Bachelor of Technology (B.Tech) in Mechanical Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Designing
* Manufacturing
* Energy
* Robotics
* Materials"
4. Bachelor of Technology (B.Tech) in Civil Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Construction
* Infrastructure
* Environment
* Design
* Sustainability"
5. Bachelor of Technology (B.Tech) in Chemical Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Chemistry
* Mathematics
* Problem-solving
* Curiosity
* Innovation"
6. Bachelor of Technology (B.Tech) in Metallurgical and Materials Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Manufacturing
* Aerospace
* Construction
* Automotive
* Electronics"
7. Bachelor of Technology (B.Tech) in Electronics and Communication Engineering,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Technology
* Electronics
* Communication
* Innovation
* Problem-solving"
8. Bachelor of Technology (B.Tech) in Information Technology,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Technology
* Computers
* Programming
* Networks
* Data Science"
9. Bachelor of Architecture (B.Arch),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Art
* Design
* Mathematics
* Engineering
* History"
10. Bachelor of Planning (B.Plan),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Urban Planning
* Architecture
* Construction Management
* Transportation Planning
* Environmental Sustainability"
11. Bachelor of Business Administration (BBA),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Entrepreneurship
* Finance
* Management
* Marketing
* International Business"
12. Bachelor of Commerce (B.Com),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Accounting
* Finance
* Economics
* Marketing
* Business Management"
13. Bachelor of Science (B.Sc) in Computer Science,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Programming
* Data Analysis
* Software Development
* Artificial Intelligence
* Cloud Computing"
14. Bachelor of Science (B.Sc) in Mathematics,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Computation
* Statistics
* Research
* Modeling
* Logic"
15. Bachelor of Science (B.Sc) in Physics,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Physics
* Science
* Mathematics
* Technology
* Engineering"
16. Bachelor of Science (B.Sc) in Chemistry,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Chemistry
* Science
* Research
* Healthcare
* Education"
17. Bachelor of Science (B.Sc) in Biotechnology,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Genetics
* Microbiology
* Chemistry
* Physics
* Research"
18. Bachelor of Science (B.Sc) in Microbiology,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Medicine
* Research
* Biotechnology
* Microbiology
* Diagnostics"
19. Bachelor of Science (B.Sc) in Food Technology,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Nutrition
* Food processing
* Food chemistry
* Food microbiology
* Food engineering"
20. Bachelor of Pharmacy (B.Pharm),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Chemistry
* Biology
* Healthcare
* Research
* Industry"
21. Bachelor of Physiotherapy (B.P.T),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Health
* Fitness
* Movement
* Rehabilitation
* Helping others"
22. Bachelor of Occupational Therapy (B.O.T),Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20,Private,https://kiit.ac.in/,"* Helping others
* Healthcare
* Rehabilitation
* Physiology
* Disability"
1. Bachelor of Dental Surgery (BDS),Government Dental College,Ahmedabad,Gujarat,21,State,https://gdc.gujarat.gov.in/,"* Dentistry
* Healthcare
* Science
* Aesthetics
* Helping others"
1. Bachelor of Dental Surgery (BDS),SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,22,Private,https://www.sdmcdh.org/,"* Healthcare
* Science
* Precision
* Creativity
* Service"
1. B.A. English,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* History
* Literature
* Philosophy
* Sociology
* Foreign Languages"
2. B.A. History,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Literature
* History
* Philosophy
* Sociology
* Language"
3. B.A. Economics,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Literature
* History
* Philosophy
* Sociology
* Anthropology"
4. B.Sc. Mathematics,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Biology
* Chemistry
* Physics
* Mathematics
* Ecology"
6. B.Sc. Chemistry,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Biology
* Chemistry
* Physics
* Mathematics
* Statistics"
7. B.Sc. Computer Science,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Science
* Research
* Innovation
* Education
* Healthcare"
8. B.Sc. Electronics and Communication Engineering,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Biology
* Biotechnology
* Zoology
* Botany
* Microbiology"
9. B.C.A.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Technology
* Software
* Programming
* Applications
* Management"
10. B.B.A.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Business
* Management
* Entrepreneurship
* Marketing
* Finance"
11. B.Com.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Finance
* Accounting
* Economics
* Taxation
* Management"
12. B.Com. (Hons.),M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Commerce
* Accounting
* Finance
* Business
* Entrepreneurship"
13. B.M.S.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Management
* Finance
* Marketing
* Entrepreneurship
* Analytics"
14. B.H.M.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"* Hospitality
* Management
* Travel
* Tourism
* Events"
17. B.Voc. in Software Development,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,23,Deemed,https://www.mgrdu.ac.in/,"*Tourism*
*Agriculture*
*Retail*
*Early childhood care*
*Beauty and wellness*"
1. Bachelor of Dental Surgery (BDS),"Government Dental College, Bangalore",Bangalore,Karnataka,24,Government,https://www.gdcbangalore.org/,"* Curiosity
* Helping others
* Precision
* Aesthetics
* Science"
1. Bachelor of Dental Surgery (BDS),Government Dental College,Thiruvananthapuram,Kerala,25,State,https://gdc-tvm.kerala.gov.in/,"* Prestige
* Job security
* High income potential
* Helping others
* Intellectual challenge"
1. Bachelor of Dental Surgery (BDS),"Vishnu Dental College, Bheemavaram",Bhimavaram,Andhra Pradesh,26,Private,https://vishnudental.org/,"* Oral health
* Aesthetics
* Science
* Helping others
* Hands-on work"
1. Bachelor of Dental Surgery (BDS),Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,27,Private,https://www.chettinadhealthcity.com/dental-college.html,"* Precision
* Healthcare
* Creativity
* Science
* Autonomy"
2. Bachelor of Science in Dental Hygiene,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,27,Private,https://www.chettinadhealthcity.com/dental-college.html,"* Teeth
* Health
* Hygiene
* Dentistry
* Smiles"
3. Bachelor of Science in Dental Technology,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,27,Private,https://www.chettinadhealthcity.com/dental-college.html,"* Orthodontics
* Prosthodontics
* Endodontics
* Periodontics
* Oral Surgery"
4. Bachelor of Science in Oral Health Therapy,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,27,Private,https://www.chettinadhealthcity.com/dental-college.html,"* Dentistry
* Health
* Science
* Education
* Patient care"
1. Bachelor of Dental Surgery (BDS),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Health
* Science
* Surgery
* Aesthetics
* Helping others"
2. Bachelor of Dental Hygiene (BDH),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Prevention
* Diagnosis
* Treatment
* Research
* Education"
3. Bachelor of Dental Mechanics (BDM),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Dentistry
* Health
* Oral Care
* Aesthetics
* Prosthetic"
4. Bachelor of Prosthetics and Maxillofacial Technology (BPMT),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Helping others
* Science
* Technology
* Medicine
* Anatomy"
5. Bachelor of Dental Therapy (BDT),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Aesthetics
* Biology
* Healthcare
* Dentistry
* Help others"
6. Bachelor of Oral Health Sciences (BOHS),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Dentistry
* Orthodontics
* Periodontics
* Endodontics
* Oral Surgery"
7. Bachelor of Dental Materials Science (BDMS),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Science
* Dentistry
* Materials
* Research
* Technology"
8. Bachelor of Dental Public Health (BDPH),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Oral health
* Public health
* Epidemiology
* Prevention
* Advocacy"
9. Bachelor of Dental Research (BDR),Yenepoya Dental College,Mangaluru,Karnataka,28,Private,https://www.yenepoyadentalcollege.org/,"* Research
* Dentistry
* Oral health
* Science
* Medicine"
1. BDS (Bachelor of Dental Surgery),"Govt. Dental College, Mumbai",Mumbai,Maharashtra,29,State,https://gdc.mahaact.nic.in/,"* Dentistry
* Health
* Surgery
* Aesthetics
* Patient Care"
1. Bachelor of Dental Surgery (BDS),Christian Dental College,Ludhiana,Punjab,30,Private,https://www.cdclu.com/,"* Dentistry
* Healthcare
* Biology
* Art
* Oral Health"
1. B.A. (Hons.) Arabic Language,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* History
* Literature
* Arts
* Languages
* Philosophy"
2. B.Ed. (Bachelor of Education),Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Teaching
* Education
* Children
* Curriculum
* Classroom"
3. B.A. (Hons.) Economics,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Languages
* Arts"
4. B.A. (Hons.) Education,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Arts
* Languages"
5. B.A. (Hons.) English Language and Literature,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Languages
* Fine Arts"
7. B.A. (Hons.) Hindi Language and Literature,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Languages
* Political Science"
9. B.A. (Hons.) Mass Communication and Journalism,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* History
* Literature
* Philosophy
* Archaeology
* Anthropology"
10. B.A. (Hons.) Mathematics,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Sociology
* Philosophy
* Languages"
11. B.A. (Hons.) Persian Language,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Languages
* Communication"
12. B.A. (Hons.) Political Science,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* History
* Literature
* Philosophy
* Art
* Music"
15. B.A. (Hons.) Sociology,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* History
* Literature
* Philosophy
* Sociology
* Anthropology"
16. B.A. (Hons.) Statistics,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Literature
* History
* Philosophy
* Languages
* Culture"
17. B.A. (Hons.) Urdu Language and Literature,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* History
* Economics
* Political Science
* Literature
* Sociology
* Psychology
* Philosophy
* Arts
* Languages
* Communication"
18. B.Com. (Hons.),Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Finance
* Accounting
* Taxation
* Auditing
* Investment"
19. B.Sc. (Hons.) Agriculture,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Biology
* Chemistry
* Physics
* Mathematics
* Zoology"
20. B.Sc. (Hons.) Anthropology,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Biology
* Chemistry
* Zoology
* Botany
* Biochemistry"
22. B.Sc. (Hons.) Biotechnology,Aligarh Muslim University,Aligarh,Uttar Pradesh,31,Central,https://www.amu.ac.in/,"* Biology
* Chemistry
* Physics
* Mathematics
* Computer Science"
5. B.Tech - Aerospace Engineering,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,65,Private,https://www.msruas.ac.in/,"* Aviation
* Space
* Technology
* Design
* Mechanics"
6. B.Tech - Civil Engineering,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,65,Private,https://www.msruas.ac.in/,"* Infrastructure
* Construction
* Design
* Environment
* Sustainable development"
7. B.Tech - Industrial Engineering,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,65,Private,https://www.msruas.ac.in/,"* Productivity
* Ergonomics
* Operations
* Data analytics
* Process improvement"
